rounds_since_swap,match_new,new_lo,new_hi,n,n_clusters,match_old,old_lo,old_hi
-4,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12,0.5,0.25,0.75
-3,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12,0.4166666666666667,0.16666666666666666,0.6666666666666666
-2,0.08333333333333333,0.0,0.25,12,12,0.5833333333333334,0.3333333333333333,0.8333333333333334
-1,0.25,0.0,0.5,12,12,0.4166666666666667,0.16666666666666666,0.6666666666666666
0,0.16666666666666666,0.0,0.4166666666666667,12,12,0.4166666666666667,0.16666666666666666,0.6666666666666666
1,0.25,0.0,0.5,12,12,0.5833333333333334,0.3333333333333333,0.8333333333333334
2,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12,0.25,0.0,0.5
3,0.5833333333333334,0.3333333333333333,0.8333333333333334,12,12,0.16666666666666666,0.0,0.4166666666666667
4,0.5,0.25,0.75,12,12,0.16666666666666666,0.0,0.4166666666666667
5,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12,0.3333333333333333,0.08333333333333333,0.5833333333333334
